距離,広さ,構造,方角,家賃,家賃カテゴリ
850,37,木造,西,81000,中
580,16,非木造,南,57000,低
700,35,非木造,南,116000,高
950,29,木造,西,51000,低
870,36,非木造,南,114000,高
300,28,非木造,西,97000,中
690,25,木造,東,51000,低
470,30,木造,西,79000,中
480,24,非木造,南,91000,中
580,33,非木造,西,110000,高
530,32,非木造,東,110000,高
790,34,非木造,西,102000,高
650,31,非木造,南,104000,高
520,27,木造,東,60000,低
590,30,非木造,東,105000,高
570,31,非木造,西,99000,中
800,14,非木造,西,36000,低
460,25,非木造,南,99000,中
560,29,木造,東,71000,中
330,35,非木造,東,126000,高
80,23,非木造,西,103000,高
630,28,非木造,南,92000,中
670,37,非木造,西,115000,高
350,29,非木造,南,112000,高
950,23,非木造,東,66000,低
210,30,木造,東,99000,中
510,31,木造,西,76000,中
460,25,非木造,東,87000,中
810,20,非木造,西,62000,低
790,32,非木造,東,104000,高
530,29,木造,東,77000,中
580,28,木造,西,71000,中
320,31,非木造,西,124000,高
100,24,非木造,東,96000,中
430,25,非木造,南,89000,中
530,17,木造,東,38000,低
750,38,非木造,南,124000,高
740,33,非木造,東,101000,高
420,24,非木造,南,92000,中
440,26,非木造,東,84000,中
290,33,非木造,西,125000,高
220,30,非木造,西,118000,高
160,25,木造,西,78000,中
890,30,木造,東,56000,低
400,34,木造,南,92000,中
410,31,非木造,南,114000,高
250,32,非木造,西,122000,高
660,30,非木造,南,101000,高
180,29,非木造,南,121000,高
460,33,非木造,南,118000,高
320,34,非木造,西,137000,高
580,34,木造,南,99000,中
400,26,木造,西,71000,中
260,28,木造,南,71000,中
490,19,非木造,西,71000,中
590,24,木造,南,66000,低
510,36,非木造,西,116000,高
560,30,非木造,東,102000,高
370,39,木造,西,95000,中
430,31,木造,西,84000,中
370,25,非木造,西,90000,中
430,31,木造,西,79000,中
340,29,木造,西,68000,低
150,28,木造,西,87000,中
540,30,木造,東,65000,低
420,36,非木造,南,132000,高
170,40,非木造,南,161000,高
590,30,非木造,南,104000,高
320,27,非木造,南,102000,高
510,30,非木造,南,109000,高
650,37,非木造,東,123000,高
530,32,木造,西,69000,低
730,29,木造,南,63000,低
250,18,非木造,南,83000,中
580,27,非木造,南,93000,中
360,29,非木造,西,99000,中
330,34,木造,南,96000,中
380,27,木造,東,73000,中
440,32,木造,東,90000,中
510,35,非木造,南,122000,高
270,22,木造,西,62000,低
680,24,木造,西,52000,低
590,25,非木造,南,87000,中
190,37,木造,西,108000,高
800,33,木造,東,68000,低
880,30,木造,南,70000,中
740,29,非木造,南,96000,中
460,35,非木造,西,130000,高
290,36,木造,東,92000,中
710,28,非木造,南,84000,中
420,28,非木造,西,111000,高
740,38,木造,南,92000,中
540,29,木造,西,74000,中
700,31,木造,西,57000,低
570,37,非木造,南,131000,高
640,26,非木造,東,80000,中
500,33,非木造,南,113000,高
860,29,非木造,南,86000,中
530,26,非木造,南,97000,中
580,22,木造,南,55000,低
